Subject,Key Chapter,StartVerse,EndVerse,Posnack Learning Goals (TBD)
Joshua,1,1,9,The LORD commissions Joshua; be strong and courageous
Joshua,1,10,15,Joshua commands officers and reminds the Transjordan tribes of their duty
Joshua,1,16,18,People pledge obedience to Joshua and echo 'be strong and courageous'
Joshua,2,1,7,Joshua sends two spies to Jericho; they lodge with Rahab
Joshua,2,8,14,"Rahab hides the spies, confesses faith in Israel’s God, and secures a pledge"
Joshua,2,15,21,Rahab helps them escape; scarlet cord as sign
Joshua,2,22,24,"Spies report back: the LORD has given the land, people are melting with fear"
Joshua,3,1,6,Israel moves from Shittim to the Jordan; officers’ instructions; priests to carry the ark
Joshua,3,7,13,The LORD exalts Joshua; promise that Jordan will be cut off
Joshua,3,14,17,Priests’ feet touch the water; Jordan stops; people cross on dry ground
Joshua,4,1,7,Twelve men take twelve stones from the river as a memorial
Joshua,4,8,14,Stones set up; Joshua exalted in the sight of all Israel
Joshua,4,15,18,Priests come up from the Jordan; waters return to their place
Joshua,4,19,24,Memorial at Gilgal explained to future generations
Joshua,5,1,1,Canaanite kings’ hearts melt on hearing of the Jordan crossing
Joshua,5,2,9,Second circumcision at Gilgal; reproach of Egypt rolled away
Joshua,5,10,12,Israel keeps Passover and eats the produce of the land; manna ceases
Joshua,5,13,15,Joshua meets the commander of the LORD’s army
Joshua,6,1,5,The LORD’s instructions for Jericho’s conquest with trumpets and marching
Joshua,6,6,11,First six days: daily march around Jericho with the ark and trumpets
Joshua,6,12,21,Seventh day: seven circuits; shout; walls fall; city devoted to destruction
Joshua,6,22,25,Rahab and her household spared and settled among Israel
Joshua,6,26,27,Joshua’s curse on rebuilding Jericho; the LORD is with Joshua
Joshua,7,1,5,Achan’s sin; Israel’s defeat at Ai
Joshua,7,6,9,Joshua and elders mourn and question the LORD
Joshua,7,10,15,The LORD reveals hidden sin as the cause of defeat
Joshua,7,16,23,Tribal selection exposes Achan; stolen items found
Joshua,7,24,26,Achan and what belonged to him destroyed in the Valley of Achor
Joshua,8,1,2,The LORD encourages Joshua; strategy for taking Ai
Joshua,8,3,13,Joshua sets ambush behind Ai; forces arranged
Joshua,8,14,23,"Feigned retreat, signal with javelin, ambush rises; Ai captured"
Joshua,8,24,29,City and inhabitants destroyed; king of Ai executed
Joshua,8,30,35,Altar on Mount Ebal; law written on stones; blessings and curses read
Joshua,9,1,2,Canaanite kings unite to fight Israel
Joshua,9,3,15,Gibeonites’ deception as distant travelers; Israel makes a covenant without consulting the LORD
Joshua,9,16,21,Deception discovered; Gibeonites spared but made woodcutters and water carriers
Joshua,9,22,27,Joshua confronts Gibeon; their explanation; covenant upheld
Joshua,10,1,5,Five Amorite kings form alliance and attack Gibeon
Joshua,10,6,11,Joshua marches overnight; surprise attack; hailstones from heaven
Joshua,10,12,15,Sun and moon stand still at Joshua’s request until victory is complete
Joshua,10,16,21,Five kings hide in a cave at Makkedah; cave sealed during battle
Joshua,10,22,27,"Kings brought out, humiliated, killed, and hung; cave sealed with stones"
Joshua,10,28,39,"Conquest of southern cities: Makkedah, Libnah, Lachish, Eglon, Hebron, Debir"
Joshua,10,40,43,Summary: Joshua defeats all the south; LORD fights for Israel
Joshua,11,1,5,Northern kings under Jabin of Hazor form large coalition
Joshua,11,6,9,"The LORD tells Joshua not to fear; horses hamstrung, chariots burned"
