Code,Benchmark
JUD.1–2.13P.1,"Recognize that Judaism teaches core beliefs about God, Torah, and the Jewish people, and name a few in simple language (e.g., God created the world, God gave us the Torah)."
JUD.1–2.13P.2,"Connect simple stories or songs to one or two principles (e.g., God knows and cares about us, God rewards good choices)."
JUD.3–5.13P.1,"Identify several of the 13 Principles in student‑friendly language (e.g., God is one, God speaks through prophets, Torah is from God)."
JUD.3–5.13P.2,"Match each of the main “clusters” of principles (God, Torah, reward and punishment, redemption, resurrection) to at least one story or text studied in class."
JUD.3–5.13P.3,"Explain in a few sentences how one selected principle (e.g., belief in one God) shows up in Jewish prayer, holidays, or mitzvot."
JUD.6–8.13P.1,"Describe each of the 13 Principles in concise, age‑appropriate language and group them into themes (God, prophecy/Torah, reward/punishment, redemption/resurrection)."
JUD.6–8.13P.2,"Identify at least one classical source (Tanakh, Mishnah, Gemara, Rambam, liturgy) that supports or illustrates each principle."
JUD.6–8.13P.3,"Explain similarities and differences between Rambam’s 13 Principles and other ways Jewish belief is expressed (e.g., in prayer texts, stories, or later summaries)."
JUD.6–8.13P.4,"Apply selected principles to interpret events or dilemmas in Jewish history or narrative (e.g., belief in divine providence, reward/punishment, Mashiach)."
JUD.9–12.13P.1,Analyze Rambam’s 13 Principles as a theological system: explain how the principles relate to each other and to his broader thought.
JUD.9–12.13P.2,"Compare Rambam’s formulation of Jewish belief to other approaches (e.g., other Rishonim, later creeds, or non‑creedal ways of defining Jewish identity)."
JUD.9–12.13P.3,"Evaluate one or more of the principles in light of historical events (e.g., exile, emancipation, Holocaust, State of Israel) and modern Jewish thought."
JUD.9–12.13P.4,"Articulate a thoughtful personal response to the 13 Principles, referencing specific ideas and sources and distinguishing between knowledge, belief, and practice."
